global_step,episodic_return,episodic_length,goal_reached,epsilon
114,0.595703125,115,1,0.9939833333333333
229,0.595703125,115,1,0.9879138888888889
485,0.0,256,0,0.9744027777777777
585,0.6484375,100,1,0.969125
803,0.23359374999999993,218,1,0.9576194444444445
1059,0.0,256,0,0.9441083333333333
1106,0.834765625,47,1,0.9416277777777777
1207,0.644921875,101,1,0.9362972222222222
1463,0.0,256,0,0.9227861111111111
1639,0.38125,176,1,0.9134972222222222
1895,0.0,256,0,0.8999861111111112
2139,0.14218750000000002,244,1,0.8871083333333334
2230,0.680078125,91,1,0.8823055555555556
2294,0.775,64,1,0.8789277777777778
2315,0.926171875,21,1,0.8778194444444445
2476,0.433984375,161,1,0.8693222222222222
2706,0.19140625,230,1,0.8571833333333333
2785,0.7222656249999999,79,1,0.853013888888889
3029,0.14218750000000002,244,1,0.8401361111111111
3083,0.81015625,54,1,0.8372861111111112
3192,0.6167968749999999,109,1,0.8315333333333333
3311,0.5816406249999999,119,1,0.8252527777777778
3567,0.0,256,0,0.8117416666666667
3633,0.76796875,66,1,0.8082583333333333
3756,0.567578125,123,1,0.8017666666666667
3941,0.349609375,185,1,0.7920027777777778
4124,0.35664062499999993,183,1,0.7823444444444445
4148,0.915625,24,1,0.7810777777777778
4404,0.0,256,0,0.7675666666666667
4601,0.30742187499999996,197,1,0.7571694444444445
4653,0.8171875,52,1,0.754425
4706,0.813671875,53,1,0.7516277777777778
4762,0.803125,56,1,0.7486722222222222
4814,0.8171875,52,1,0.7459277777777777
5070,0.0,256,0,0.7324166666666667
5101,0.891015625,31,1,0.7307805555555555
5212,0.609765625,111,1,0.7249222222222222
5278,0.76796875,66,1,0.721438888888889
5504,0.20546874999999998,226,1,0.7095111111111111
5545,0.855859375,41,1,0.7073472222222222
5801,0.0,256,0,0.6938361111111111
6031,0.19140625,230,1,0.6816972222222222
6074,0.848828125,43,1,0.6794277777777777
6124,0.82421875,50,1,0.6767888888888889
6167,0.848828125,43,1,0.6745194444444444
6273,0.62734375,106,1,0.668925
6357,0.7046874999999999,84,1,0.6644916666666667
6613,0.0,256,0,0.6509805555555556
6780,0.41289062499999996,167,1,0.6421666666666667
6894,0.5992187499999999,114,1,0.63615
7061,0.41289062499999996,167,1,0.6273361111111111
7317,0.0,256,0,0.6138250000000001
7573,0.0,256,0,0.6003138888888888
7829,0.0,256,0,0.5868027777777778
8076,0.13164062499999996,247,1,0.5737666666666666
8332,0.0,256,0,0.5602555555555555
8588,0.0,256,0,0.5467444444444445
8667,0.7222656249999999,79,1,0.542575
8874,0.27226562499999996,207,1,0.53165
9130,0.0,256,0,0.5181388888888889
9193,0.778515625,63,1,0.5148138888888889
9449,0.0,256,0,0.5013027777777778
9545,0.6625,96,1,0.4962361111111111
9801,0.0,256,0,0.48272499999999996
9898,0.658984375,97,1,0.4776055555555556
10063,0.419921875,165,1,0.4688972222222222
10319,0.0,256,0,0.45538611111111116
10575,0.0,256,0,0.441875
10831,0.0,256,0,0.4283638888888889
11046,0.244140625,215,1,0.4170166666666667
