global_step,episodic_return,episodic_length,goal_reached,epsilon
114,0.595703125,115,1,0.998195
229,0.595703125,115,1,0.9963741666666667
485,0.0,256,0,0.9923208333333333
741,0.0,256,0,0.9882675
876,0.525390625,135,1,0.98613
1132,0.0,256,0,0.9820766666666667
1381,0.12460937500000002,249,1,0.9781341666666666
1439,0.79609375,58,1,0.9772158333333333
1595,0.4515625,156,1,0.9747458333333333
1794,0.300390625,199,1,0.971595
1934,0.5078125,140,1,0.9693783333333333
2190,0.0,256,0,0.965325
2446,0.0,256,0,0.9612716666666666
2702,0.0,256,0,0.9572183333333333
2958,0.0,256,0,0.953165
3214,0.0,256,0,0.9491116666666667
3470,0.0,256,0,0.9450583333333333
3658,0.33906249999999993,188,1,0.9420816666666667
3914,0.0,256,0,0.9380283333333334
4010,0.6625,96,1,0.9365083333333333
4266,0.0,256,0,0.932455
4522,0.0,256,0,0.9284016666666667
4689,0.41289062499999996,167,1,0.9257575
4945,0.0,256,0,0.9217041666666667
5012,0.764453125,67,1,0.9206433333333334
5268,0.0,256,0,0.91659
5524,0.0,256,0,0.9125366666666667
5615,0.680078125,91,1,0.9110958333333333
5843,0.19843749999999993,228,1,0.9074858333333333
6066,0.21601562499999993,223,1,0.903955
6109,0.848828125,43,1,0.9032741666666667
6207,0.65546875,98,1,0.9017225
6360,0.46210937499999993,153,1,0.8993
6595,0.173828125,235,1,0.8955791666666667
6836,0.15273437499999998,241,1,0.8917633333333334
6972,0.521875,136,1,0.88961
7115,0.49726562499999993,143,1,0.8873458333333333
7316,0.293359375,201,1,0.8841633333333333
7572,0.0,256,0,0.88011
7828,0.0,256,0,0.8760566666666667
8084,0.0,256,0,0.8720033333333334
8220,0.521875,136,1,0.86985
8447,0.20195312499999996,227,1,0.8662558333333333
8690,0.14570312499999993,243,1,0.8624083333333333
8853,0.42695312499999993,163,1,0.8598275
9109,0.0,256,0,0.8557741666666667
9365,0.0,256,0,0.8517208333333334
9493,0.55,128,1,0.8496941666666666
9714,0.22304687499999998,221,1,0.846195
9839,0.560546875,125,1,0.8442158333333334
9890,0.820703125,51,1,0.8434083333333333
10146,0.0,256,0,0.839355
10209,0.778515625,63,1,0.8383575
10465,0.0,256,0,0.8343041666666666
10547,0.71171875,82,1,0.8330058333333333
10633,0.69765625,86,1,0.8316441666666666
10758,0.560546875,125,1,0.829665
10822,0.775,64,1,0.8286516666666667
11023,0.293359375,201,1,0.8254691666666667
11279,0.0,256,0,0.8214158333333333
11535,0.0,256,0,0.8173625
11620,0.701171875,85,1,0.8160166666666666
11678,0.79609375,58,1,0.8150983333333334
11793,0.595703125,115,1,0.8132775
11942,0.476171875,149,1,0.8109183333333333
12010,0.7609375,68,1,0.8098416666666667
12102,0.6765625,92,1,0.808385
12181,0.7222656249999999,79,1,0.8071341666666667
12257,0.7328125,76,1,0.8059308333333334
12513,0.0,256,0,0.8018775
12720,0.27226562499999996,207,1,0.7986
12962,0.14921874999999996,242,1,0.7947683333333333
13039,0.729296875,77,1,0.7935491666666666
13110,0.750390625,71,1,0.7924249999999999
13366,0.0,256,0,0.7883716666666667
13452,0.69765625,86,1,0.78701
13708,0.0,256,0,0.7829566666666666
13964,0.0,256,0,0.7789033333333333
14220,0.0,256,0,0.77485
14303,0.708203125,83,1,0.7735358333333333
14419,0.5921875,116,1,0.7716991666666666
14675,0.0,256,0,0.7676458333333334
14931,0.0,256,0,0.7635925
15025,0.6695312499999999,94,1,0.7621041666666667
15148,0.567578125,123,1,0.7601566666666667
15404,0.0,256,0,0.7561033333333333
15478,0.7398437499999999,74,1,0.7549316666666667
15526,0.83125,48,1,0.7541716666666667
15590,0.775,64,1,0.7531583333333334
15846,0.0,256,0,0.749105
16102,0.0,256,0,0.7450516666666667
16204,0.64140625,102,1,0.7434366666666667
