global_step,epsilon,td_loss,q_value,stuck_rate,mean_penalty
0,1.0,nan,nan,0.0,0.0
1000,0.9841666666666666,nan,nan,0.103,-0.00103
2000,0.9683333333333334,nan,nan,0.122,-0.00122
3000,0.9525,nan,nan,0.12,-0.0012000000000000001
4000,0.9366666666666666,nan,nan,0.108,-0.00108
5000,0.9208333333333334,nan,nan,0.097,-0.00097
6000,0.905,0.0002120923309121281,0.04181809350848198,0.095,-0.0009500000000000001
7000,0.8891666666666667,1.443816381652141e-05,0.043726928532123566,0.077,-0.0007700000000000001
8000,0.8733333333333333,0.0062545607797801495,0.04885861277580261,0.084,-0.00084
9000,0.8575,3.6699373595183715e-05,0.05222161114215851,0.091,-0.00091
10000,0.8416666666666667,4.927058762405068e-05,0.05848988518118858,0.084,-0.0008399999999999999
11000,0.8258333333333333,0.00013886898523196578,0.06270725280046463,0.093,-0.00093
12000,0.81,0.0013726918259635568,0.07520297914743423,0.088,-0.0008800000000000001
13000,0.7941666666666667,6.565369403688237e-05,0.0795551985502243,0.093,-0.00093
14000,0.7783333333333333,0.0003522834158502519,0.08280429989099503,0.119,-0.0011899999999999999
15000,0.7625,0.0016575480112805963,0.10730558633804321,0.122,-0.00122
16000,0.7466666666666666,0.0035560375545173883,0.11595509946346283,0.078,-0.00078
17000,0.7308333333333333,0.002288843272253871,0.15432877838611603,0.087,-0.0008700000000000001
18000,0.7150000000000001,0.004469268023967743,0.14954496920108795,0.061,-0.00061
19000,0.6991666666666667,0.0031954338774085045,0.16486836969852448,0.06,-0.0006000000000000001
20000,0.6833333333333333,0.0038310978561639786,0.21828708052635193,0.078,-0.00078
21000,0.6675,0.0021616402082145214,0.24093490839004517,0.069,-0.0006900000000000001
22000,0.6516666666666666,0.003492986783385277,0.2701292037963867,0.122,-0.0012200000000000002
23000,0.6358333333333334,0.0014838939532637596,0.33266326785087585,0.068,-0.00068
24000,0.62,0.0018987195799127221,0.3429744243621826,0.076,-0.00076
25000,0.6041666666666667,0.0022945664823055267,0.3647559881210327,0.08,-0.0008
26000,0.5883333333333334,0.0035667275078594685,0.3918790817260742,0.051,-0.00051
27000,0.5725,0.002781766466796398,0.4077259302139282,0.083,-0.0008300000000000001
28000,0.5566666666666666,0.0015887337503954768,0.44248101115226746,0.093,-0.00093
29000,0.5408333333333333,0.0046190195716917515,0.4547235071659088,0.083,-0.0008300000000000001
30000,0.525,0.002508579520508647,0.475396990776062,0.06,-0.0006000000000000001
31000,0.5091666666666667,0.0013230382464826107,0.5109655261039734,0.062,-0.00062
32000,0.4933333333333333,0.0016673584468662739,0.530832052230835,0.048,-0.00048
33000,0.47750000000000004,0.0009135035797953606,0.544897198677063,0.036,-0.00035999999999999997
34000,0.46166666666666667,0.0015776201616972685,0.5423191785812378,0.046,-0.00046
35000,0.4458333333333333,0.0030175154097378254,0.560545027256012,0.047,-0.00047
36000,0.43000000000000005,0.003632277250289917,0.5586751103401184,0.039,-0.00039
37000,0.4141666666666667,0.0051422021351754665,0.5771778225898743,0.026,-0.00026000000000000003
38000,0.3983333333333333,0.000948143657296896,0.5813994407653809,0.022,-0.00022
39000,0.38250000000000006,0.0006183535442687571,0.5839775800704956,0.042,-0.00041999999999999996
40000,0.3666666666666667,0.00039182844921015203,0.5889858603477478,0.01,-0.0001
41000,0.35083333333333333,0.0004586878349073231,0.5908281803131104,0.027,-0.00027
42000,0.33499999999999996,0.0005431625177152455,0.6063438653945923,0.017,-0.00016999999999999999
43000,0.3191666666666667,0.0005789538845419884,0.6143652200698853,0.034,-0.00034
44000,0.30333333333333334,0.0004773441469296813,0.6188501119613647,0.024,-0.00023999999999999998
45000,0.2875,0.0003294723283033818,0.6203706860542297,0.022,-0.00022000000000000003
46000,0.2716666666666667,0.00034080189652740955,0.6305109262466431,0.016,-0.00016
47000,0.25583333333333336,0.00018677244952414185,0.625910222530365,0.006,-6e-05
48000,0.24,0.00019191687169950455,0.6356629729270935,0.006,-5.9999999999999995e-05
49000,0.22416666666666663,0.00018511468078941107,0.6451714634895325,0.011,-0.00011
50000,0.20833333333333337,0.0013027200475335121,0.6397313475608826,0.004,-4e-05
51000,0.1925,0.00018362262926530093,0.645174503326416,0.001,-1e-05
52000,0.17666666666666664,0.0020953305065631866,0.6424710154533386,0.018,-0.00018
53000,0.16083333333333338,0.003125007962808013,0.6395790576934814,0.098,-0.0009800000000000002
54000,0.14500000000000002,7.4512638093438e-05,0.6407310366630554,0.063,-0.00063
55000,0.12916666666666665,0.0037389181088656187,0.6421209573745728,0.012,-0.00011999999999999999
56000,0.1133333333333334,6.953789852559566e-05,0.6363665461540222,0.087,-0.0008700000000000001
57000,0.09750000000000003,0.0033220164477825165,0.6351181268692017,0.061,-0.0006100000000000001
58000,0.08166666666666667,5.4436146456282586e-05,0.6301265358924866,0.11,-0.0011
59000,0.0658333333333333,6.466585909947753e-05,0.6252595782279968,0.064,-0.00064
60000,0.050000000000000044,9.496210259385407e-05,0.6193533539772034,0.035,-0.00035
61000,0.05,0.0008864562842063606,0.6223311424255371,0.134,-0.00134
62000,0.05,0.0016245243605226278,0.6191241145133972,0.205,-0.0020499999999999997
63000,0.05,0.0032055117189884186,0.6208317875862122,0.124,-0.00124
64000,0.05,3.976818697992712e-05,0.6100398898124695,0.06,-0.0006
65000,0.05,4.7383731725858524e-05,0.6060330867767334,0.065,-0.0006500000000000002
66000,0.05,2.103681799781043e-05,0.6034585237503052,0.071,-0.0007100000000000001
